geo_value,time_value,value,stderr
nc,2022-05-06,14.2135119,0.8812721
nd,2022-05-06,13.8524912,3.1255732
ne,2022-05-06,11.0788052,1.6429837
nh,2022-05-06,12.3003392,1.7971498
nj,2022-05-06,11.6888374,0.9753908
nm,2022-05-06,18.4446892,1.9284305
nv,2022-05-06,15.3539629,1.8571042
ny,2022-05-06,13.4557397,0.6419287
oh,2022-05-06,15.2508214,0.8342727
ok,2022-05-06,18.1896295,1.6170237
or,2022-05-06,17.3168812,1.2769059
pa,2022-05-06,15.7097182,0.7833343
ri,2022-05-06,12.0543822,2.3437123
sc,2022-05-06,9.9839252,1.0240473
sd,2022-05-06,10.6820709,2.2588542
tn,2022-05-06,14.9795618,1.1369417
tx,2022-05-06,14.9223985,0.6492312
ut,2022-05-06,16.7365311,1.6987499
va,2022-05-06,13.1316473,0.8807581
vt,2022-05-06,12.9755501,2.3702004
wa,2022-05-06,16.6919839,0.9647673
wi,2022-05-06,13.9353955,1.0334314
wv,2022-05-06,15.5021046,1.8372731
wy,2022-05-06,10.9460408,2.8265689
ak,2022-05-07,14.0664154,2.7572403
al,2022-05-07,16.6436996,1.4283555
ar,2022-05-07,18.3840826,1.792459
az,2022-05-07,14.8639988,1.1072538
ca,2022-05-07,15.4646683,0.5538989
co,2022-05-07,13.4935223,1.1426846
ct,2022-05-07,14.8725632,1.2966722
de,2022-05-07,9.128206,1.9596585
fl,2022-05-07,13.0645322,0.5865739
ga,2022-05-07,13.8892225,0.9897185
hi,2022-05-07,11.1223939,2.32418
ia,2022-05-07,15.9870377,1.4244002
id,2022-05-07,9.7183854,1.6430186
il,2022-05-07,12.8696542,0.7319535
in,2022-05-07,18.4272002,1.1554022
ks,2022-05-07,13.70888,1.4734374
ky,2022-05-07,15.92209,1.3831452
la,2022-05-07,19.2359596,1.5829614
ma,2022-05-07,14.8043649,1.0756959
md,2022-05-07,12.0653656,1.0899954
me,2022-05-07,13.1224763,1.6170311
mi,2022-05-07,14.3962156,0.7513527
mn,2022-05-07,14.9399894,1.1474972
mo,2022-05-07,16.3653291,1.1884849
ms,2022-05-07,10.7647844,1.5164931
mt,2022-05-07,21.2763074,2.7858197
nc,2022-05-07,14.7781452,0.8885969
nd,2022-05-07,15.1331766,3.1906693
ne,2022-05-07,12.6220024,1.7455961
nh,2022-05-07,10.6452096,1.6901059
nj,2022-05-07,12.3359491,0.9892726
nm,2022-05-07,16.291999,1.8308507
nv,2022-05-07,17.5507005,1.9389721
ny,2022-05-07,13.3537904,0.6399821
oh,2022-05-07,13.307237,0.7883988
ok,2022-05-07,18.8848697,1.6478754
or,2022-05-07,17.4423826,1.2697522
pa,2022-05-07,15.4430919,0.7653967
ri,2022-05-07,17.4790367,2.6990609
sc,2022-05-07,9.4880498,0.9790101
sd,2022-05-07,9.2891597,2.1343119
tn,2022-05-07,15.1897851,1.148149
tx,2022-05-07,14.2673916,0.6414277
ut,2022-05-07,17.3349027,1.7444377
va,2022-05-07,12.2718631,0.84542
vt,2022-05-07,11.8156345,2.3235136
wa,2022-05-07,17.2451472,0.9829708
wi,2022-05-07,14.4311967,1.043063
wv,2022-05-07,15.4790083,1.8702017
wy,2022-05-07,9.6991083,2.6794602
ak,2022-05-08,13.9700339,2.7237428
al,2022-05-08,17.3740922,1.5000135
ar,2022-05-08,17.1803683,1.738089
az,2022-05-08,15.4645266,1.1297332
ca,2022-05-08,15.4488479,0.5535368
co,2022-05-08,12.778116,1.1128399
ct,2022-05-08,16.7244016,1.3431531
de,2022-05-08,9.3280072,1.943153
fl,2022-05-08,12.8776682,0.5921182
ga,2022-05-08,13.7685372,0.9922131
hi,2022-05-08,10.0129011,2.2189348
ia,2022-05-08,17.4804859,1.487526
id,2022-05-08,9.2194107,1.5829554
il,2022-05-08,12.4497909,0.7286396
in,2022-05-08,17.3519605,1.1346136
ks,2022-05-08,13.2529694,1.4407022
ky,2022-05-08,17.0261607,1.4198699
la,2022-05-08,18.3946406,1.5635834
ma,2022-05-08,14.6507513,1.0785114
md,2022-05-08,11.8473135,1.0838694
me,2022-05-08,14.5520692,1.6868343
mi,2022-05-08,14.5199424,0.759088
mn,2022-05-08,15.0479192,1.1479646
mo,2022-05-08,15.6744983,1.1839287
ms,2022-05-08,12.4236949,1.6136069
mt,2022-05-08,16.3834217,2.5673951
nc,2022-05-08,14.0803177,0.8733747
nd,2022-05-08,12.8409874,3.0393766
ne,2022-05-08,10.7047938,1.6318826
nh,2022-05-08,11.8943753,1.7353338
nj,2022-05-08,12.7737746,0.9921105
nm,2022-05-08,16.0177336,1.8298838
nv,2022-05-08,15.7533064,1.8715887
ny,2022-05-08,13.7985605,0.6537587
oh,2022-05-08,12.7277415,0.775077
ok,2022-05-08,17.5856467,1.6143529
or,2022-05-08,16.9200545,1.2602015
pa,2022-05-08,15.0691113,0.7545334
ri,2022-05-08,19.9400782,2.811251
sc,2022-05-08,10.6306813,1.0308743
sd,2022-05-08,10.6662822,2.3878414
tn,2022-05-08,14.6637968,1.1339056
tx,2022-05-08,14.4987648,0.6581377
ut,2022-05-08,16.534691,1.7341633
va,2022-05-08,12.5184911,0.8536884
vt,2022-05-08,12.8586559,2.3610847
wa,2022-05-08,17.7603672,0.9985011
wi,2022-05-08,13.9427812,1.0309106
wv,2022-05-08,16.1706925,1.8572274
wy,2022-05-08,11.3744249,2.9608235
ak,2022-05-09,12.9896427,2.7449754
al,2022-05-09,17.3942709,1.4948488
ar,2022-05-09,16.362585,1.7323816
az,2022-05-09,15.0883623,1.1145865
ca,2022-05-09,15.0836861,0.5460227
co,2022-05-09,13.3045983,1.1203373
ct,2022-05-09,17.6022962,1.353255
de,2022-05-09,10.4123316,2.0182751
fl,2022-05-09,13.0191706,0.5925686
ga,2022-05-09,13.5616716,1.0122754
hi,2022-05-09,11.1269574,2.2635734
ia,2022-05-09,16.7533268,1.457083
id,2022-05-09,10.8382798,1.6711885
il,2022-05-09,13.0413036,0.7403455
in,2022-05-09,15.1363164,1.0801335
ks,2022-05-09,12.5361457,1.4107286
ky,2022-05-09,16.8825217,1.4070825
la,2022-05-09,17.2415218,1.5332036
ma,2022-05-09,14.4117868,1.0623192
md,2022-05-09,11.1517628,1.0551186
me,2022-05-09,15.1436542,1.6659694
mi,2022-05-09,15.7111966,0.7859181
mn,2022-05-09,14.6942186,1.1373383
mo,2022-05-09,15.8239777,1.1891363
ms,2022-05-09,11.3575893,1.5753107
mt,2022-05-09,16.157216,2.5717928
nc,2022-05-09,13.2095992,0.8480786
nd,2022-05-09,10.5969675,2.6977858
ne,2022-05-09,11.0982922,1.6487787
nh,2022-05-09,10.9491124,1.6786901
nj,2022-05-09,12.0905484,0.973729
nm,2022-05-09,13.8186039,1.7662726
nv,2022-05-09,14.8441494,1.8291082
ny,2022-05-09,13.7939225,0.6529629
oh,2022-05-09,13.4736221,0.7841458
ok,2022-05-09,17.4218353,1.6013121
or,2022-05-09,17.4651642,1.2696946
pa,2022-05-09,15.0633502,0.7593284
ri,2022-05-09,18.2371088,2.6093842
sc,2022-05-09,13.3064593,1.1541585
sd,2022-05-09,9.5871635,2.2774631
tn,2022-05-09,14.9079596,1.139331
tx,2022-05-09,14.147284,0.6548875
ut,2022-05-09,17.4665802,1.7571387
va,2022-05-09,12.3949575,0.8529806
vt,2022-05-09,13.1629052,2.3330205
wa,2022-05-09,17.8220628,0.9884543
wi,2022-05-09,13.4588338,1.0139108
wv,2022-05-09,16.6146882,1.8337557
wy,2022-05-09,11.8215383,3.0784715
ak,2022-05-10,8.0276939,2.2185964
al,2022-05-10,15.7640088,1.4270893
ar,2022-05-10,14.4598518,1.6309724
az,2022-05-10,14.3789501,1.0730721
ca,2022-05-10,14.8533151,0.5390075
co,2022-05-10,12.8264498,1.1159106
ct,2022-05-10,15.9707276,1.3017125
de,2022-05-10,10.1354968,1.9814021
fl,2022-05-10,13.7402024,0.6062279
ga,2022-05-10,12.448273,0.9688857
hi,2022-05-10,11.4842055,2.2949975
ia,2022-05-10,16.0063229,1.4306036
id,2022-05-10,11.480395,1.7187509
il,2022-05-10,13.727666,0.7504334
in,2022-05-10,14.0819877,1.0430902
ks,2022-05-10,12.8521626,1.4322173
ky,2022-05-10,16.0338858,1.357339
la,2022-05-10,15.3565891,1.4718665
ma,2022-05-10,13.2993743,1.0219779
md,2022-05-10,9.9641797,0.9989615
me,2022-05-10,16.8039825,1.7302105
mi,2022-05-10,15.8062416,0.7964374
mn,2022-05-10,13.5187295,1.0774965
mo,2022-05-10,14.6967197,1.1604338
ms,2022-05-10,12.9615074,1.6675855
mt,2022-05-10,13.9010953,2.4473258
nc,2022-05-10,13.9826958,0.8664763
nd,2022-05-10,15.0386137,3.1824173
ne,2022-05-10,12.0213169,1.6956346
nh,2022-05-10,12.5422729,1.724146
nj,2022-05-10,12.8085508,0.9923858
nm,2022-05-10,14.1873836,1.7647723
nv,2022-05-10,12.360224,1.7045554
ny,2022-05-10,14.1003273,0.6628144
oh,2022-05-10,13.2922187,0.7616026
ok,2022-05-10,17.0112654,1.580715
or,2022-05-10,16.5017238,1.2399738
pa,2022-05-10,15.0026728,0.758239
ri,2022-05-10,18.5858917,2.5818556
sc,2022-05-10,14.1403974,1.1833559
sd,2022-05-10,8.876711,2.199234
tn,2022-05-10,14.2814408,1.1046332
tx,2022-05-10,13.9333064,0.649123
ut,2022-05-10,18.5339581,1.7756163
va,2022-05-10,12.6968696,0.870412
vt,2022-05-10,11.9850011,2.2306377
wa,2022-05-10,17.0560733,0.9618976
wi,2022-05-10,13.7845136,1.0314814
wv,2022-05-10,16.464626,1.7926213
wy,2022-05-10,14.2550061,3.3487844
ak,2022-05-11,5.9883773,1.9373127
al,2022-05-11,12.1500085,1.2697659
ar,2022-05-11,15.5039976,1.7005809
az,2022-05-11,14.3151713,1.0681179
ca,2022-05-11,14.6824475,0.533199
co,2022-05-11,12.6049986,1.1132328
ct,2022-05-11,15.3771696,1.2574249
de,2022-05-11,11.5195098,2.1097112
fl,2022-05-11,13.3094529,0.5944624
ga,2022-05-11,11.171704,0.9249277
hi,2022-05-11,11.2237181,2.2209622
ia,2022-05-11,17.4562379,1.4676982
id,2022-05-11,11.5683098,1.7071585
il,2022-05-11,13.673854,0.7413056
in,2022-05-11,13.6653698,1.0245195
ks,2022-05-11,13.2419352,1.4491914
ky,2022-05-11,16.5108432,1.3694286
la,2022-05-11,16.1407953,1.493288
ma,2022-05-11,12.3399292,0.9925568
md,2022-05-11,11.082887,1.0412077
me,2022-05-11,18.1144484,1.786034
mi,2022-05-11,16.4281915,0.8099167
mn,2022-05-11,12.8830003,1.0510291
mo,2022-05-11,14.8218566,1.1626368
ms,2022-05-11,13.5905958,1.7102135
mt,2022-05-11,15.4282207,2.4761653
nc,2022-05-11,13.2320698,0.8439381
nd,2022-05-11,17.3881347,3.3724073
ne,2022-05-11,9.3144642,1.5650782
nh,2022-05-11,11.615311,1.7077827
nj,2022-05-11,13.9290783,1.0268554
nm,2022-05-11,16.0652689,1.8361562
nv,2022-05-11,12.5857918,1.7066683
ny,2022-05-11,14.0008482,0.6595401
oh,2022-05-11,14.6243096,0.7848337
ok,2022-05-11,17.2936557,1.5868598
or,2022-05-11,18.0266582,1.258397
pa,2022-05-11,14.9494216,0.7528979
ri,2022-05-11,16.1774401,2.4659618
sc,2022-05-11,15.1271781,1.1990502
sd,2022-05-11,10.030549,2.2636865
tn,2022-05-11,14.4136298,1.1107112
tx,2022-05-11,13.4232726,0.6344629
ut,2022-05-11,17.8210683,1.7540479
va,2022-05-11,13.7415633,0.9032268
vt,2022-05-11,11.4783312,2.2263166
wa,2022-05-11,16.16235,0.929311
wi,2022-05-11,13.8607932,1.0193755
wv,2022-05-11,15.7922508,1.7836487
wy,2022-05-11,11.9813958,3.0023748
ak,2022-05-12,6.3363303,2.1124122
al,2022-05-12,13.1038389,1.3007238
ar,2022-05-12,16.6465052,1.7599111
az,2022-05-12,14.6316854,1.083422
ca,2022-05-12,14.2890439,0.5222091
co,2022-05-12,12.2319478,1.0826537
ct,2022-05-12,16.3956382,1.2581131
de,2022-05-12,14.1821873,2.3520632
fl,2022-05-12,13.1991196,0.5892201
ga,2022-05-12,11.4687636,0.9307745
hi,2022-05-12,11.8370732,2.2399251
ia,2022-05-12,18.525225,1.5066596
id,2022-05-12,12.4149986,1.7550492
il,2022-05-12,14.3710603,0.7501153
in,2022-05-12,12.1861644,0.9757339
ks,2022-05-12,13.4910475,1.4797154
ky,2022-05-12,17.9285468,1.4107131
la,2022-05-12,16.3047314,1.4956928
ma,2022-05-12,13.0554543,0.9978475
md,2022-05-12,11.2671888,1.0610689
me,2022-05-12,15.4833646,1.6598046
mi,2022-05-12,15.820839,0.7896173
mn,2022-05-12,12.5939688,1.0268104
mo,2022-05-12,15.1926758,1.1713948
ms,2022-05-12,13.5487412,1.7319584
mt,2022-05-12,13.7577026,2.2673905
nc,2022-05-12,13.5395772,0.8446106
nd,2022-05-12,16.3751306,3.2669505
ne,2022-05-12,8.7373583,1.4990638
nh,2022-05-12,11.030389,1.6792936
nj,2022-05-12,14.6302462,1.0569563
nm,2022-05-12,14.9225686,1.7555146
nv,2022-05-12,14.1838388,1.7786
ny,2022-05-12,13.8199737,0.6583375
oh,2022-05-12,15.0296777,0.7898592
ok,2022-05-12,19.5701805,1.6459546
or,2022-05-12,18.1175855,1.2656214
pa,2022-05-12,14.2376666,0.7295766
ri,2022-05-12,18.019165,2.5566552
sc,2022-05-12,16.6527717,1.2302801
sd,2022-05-12,10.1527973,2.322838
tn,2022-05-12,15.1007173,1.1191244
tx,2022-05-12,12.871328,0.6208979
ut,2022-05-12,17.5020437,1.7471621
va,2022-05-12,13.8459092,0.8938082
vt,2022-05-12,10.3199758,2.1511569
wa,2022-05-12,15.6137718,0.9066173
wi,2022-05-12,13.7899756,1.02299
wv,2022-05-12,14.4826626,1.6834878
wy,2022-05-12,13.3594816,3.0430385
ak,2022-05-13,6.6307295,2.0807247
al,2022-05-13,12.6510245,1.2871281
ar,2022-05-13,16.9239976,1.7407617
az,2022-05-13,14.5837129,1.0959411
ca,2022-05-13,14.3630479,0.5217097
co,2022-05-13,13.7371665,1.1300755
ct,2022-05-13,17.9174245,1.3100047
de,2022-05-13,13.6945256,2.2970405
fl,2022-05-13,12.3178463,0.5697661
ga,2022-05-13,11.4344766,0.9205728
hi,2022-05-13,10.8496176,2.092053
ia,2022-05-13,17.9756603,1.4650988
id,2022-05-13,13.741157,1.8069386
il,2022-05-13,14.6266501,0.7585801
in,2022-05-13,11.3322727,0.9471784
ks,2022-05-13,12.1563241,1.3984555
ky,2022-05-13,17.4206746,1.3908319
la,2022-05-13,16.1485996,1.4972839
ma,2022-05-13,14.0746788,1.0166848
md,2022-05-13,13.2400049,1.1329022
me,2022-05-13,18.7497571,1.7741383
mi,2022-05-13,15.4304271,0.779615
mn,2022-05-13,13.1195751,1.046842
mo,2022-05-13,14.2497689,1.1341237
ms,2022-05-13,15.6863222,1.8431723
mt,2022-05-13,15.0571028,2.3136905
nc,2022-05-13,13.3574255,0.8299883
nd,2022-05-13,20.0927986,3.4602375
ne,2022-05-13,9.0965913,1.5221267
nh,2022-05-13,12.530497,1.767091
nj,2022-05-13,14.018591,1.0346308
nm,2022-05-13,15.5292839,1.822449
nv,2022-05-13,14.3658184,1.7694408
ny,2022-05-13,13.7353247,0.6566404
